term,category,rule,subject,object
pakistani,geography,excl_only,1,1
pakistanis,geography,excl_only,1,1
nigerian,geography,excl_only,1,1
nigerians,geography,excl_only,1,1
brazillian,geography,excl_only,1,1
brazillians,geography,excl_only,1,1
bangladeshi,geography,excl_only,1,1
bangladeshis,geography,excl_only,1,1
russia,geography,excl_only,1,1
russian,geography,excl_only,1,1
russians,geography,excl_only,1,1
mexican,geography,excl_only,1,1
mexicans,geography,excl_only,1,1
japanese,geography,excl_only,1,1
filipino,geography,excl_only,1,1
ethiopian,geography,excl_only,1,1
ethiopians,geography,excl_only,1,1
egyptian,geography,excl_only,1,1
egyptians,geography,excl_only,1,1
vietnamese,geography,excl_only,1,1
iranian,geography,excl_only,1,1
iranians,geography,excl_only,1,1
turkish,geography,excl_only,1,1
german,geography,excl_only,1,1
germans,geography,excl_only,1,1
british,geography,excl_only,1,1
french,geography,excl_only,1,1
tanzanian,geography,excl_only,1,1
tanzanians,geography,excl_only,1,1
thai,geography,excl_only,1,1
south african,geography,excl_only,1,1
south africans,geography,excl_only,1,1
italian,geography,excl_only,1,1
italians,geography,excl_only,1,1
kenyan,geography,excl_only,1,1
kenyans,geography,excl_only,1,1
colombian,geography,excl_only,1,1
colombians,geography,excl_only,1,1
sudanese,geography,excl_only,1,1
korean,geography,excl_only,1,1
koreans,geography,excl_only,1,1
south korean,geography,excl_only,1,1
south koreans,geography,excl_only,1,1
north korean,geography,excl_only,1,1
north koreans,geography,excl_only,1,1
spanish,geography,excl_only,1,1
algerian,geography,excl_only,1,1
algerians,geography,excl_only,1,1
argentinian,geography,excl_only,1,1
argentnians,geography,excl_only,1,1
argentine,geography,excl_only,1,1
argentines,geography,excl_only,1,1
iraqi,geography,excl_only,1,1
iraqis,geography,excl_only,1,1
ugandan,geography,excl_only,1,1
ugandans,geography,excl_only,1,1
afghanistani,geography,excl_only,1,1
afghanistanis,geography,excl_only,1,1
canadian,geography,excl_only,1,1
canadians,geography,excl_only,1,1
angolan,geography,excl_only,1,1
angolans,geography,excl_only,1,1
uzbek,geography,excl_only,1,1
uzbeks,geography,excl_only,1,1
polish,geography,excl_only,1,1
moroccan,geography,excl_only,1,1
moroccans,geography,excl_only,1,1
saudi,geography,excl_only,1,1
saudis,geography,excl_only,1,1
peruvian,geography,excl_only,1,1
peruvians,geography,excl_only,1,1
malaysian,geography,excl_only,1,1
malaysians,geography,excl_only,1,1
icelandic,geography,excl_only,1,1
norwegian,geography,excl_only,1,1
norwegians,geography,excl_only,1,1
swiss,geography,excl_only,1,1
dane,geography,excl_only,1,1
danes,geography,excl_only,1,1
danish,geography,excl_only,1,1
australian,geography,excl_only,1,1
australians,geography,excl_only,1,1
cantonese,geography,excl_only,1,1
dutch,geography,excl_only,1,1
belgian,geography,excl_only,1,1
belgians,geography,excl_only,1,1
irish,geography,excl_only,1,1
finnish,geography,excl_only,1,1
singaporean,geography,excl_only,1,1
singaporeans,geography,excl_only,1,1
slovenian,geography,excl_only,1,1
solvenians,geography,excl_only,1,1
austrian,geography,excl_only,1,1
austrians,geography,excl_only,1,1
maltese,geography,excl_only,1,1
greek,geography,excl_only,1,1
greeks,geography,excl_only,1,1
portugese,geography,excl_only,1,1
bolivian,geography,excl_only,1,1
bolivians,geography,excl_only,1,1
category,generic,excl_only,1,1
categories,generic,excl_only,1,1
correlation,academic_syntax,excl_only,1,1
further analysis,academic_syntax,excl_only,1,1
further analyses,academic_syntax,excl_only,1,1
further studies,academic_syntax,excl_only,1,1
guideline,academic_syntax,excl_only,1,1
guidelines,academic_syntax,excl_only,1,0
median,statistics,excl_only,1,1
occur,generic,excl_only,1,1
occurs,generic,excl_only,1,1
occurrence,generic,excl_only,1,1
occurrences,generic,excl_only,1,1
lacks,generic,excl_only,1,1
lacking,generic,excl_only,1,1
increase,comparator,excl_only,1,1
increases,comparator,excl_only,1,1
increasing,comparator,excl_only,1,1
increased,comparator,excl_only,1,1
decrease,comparator,excl_only,1,1
decreases,comparator,excl_only,1,1
decreasing,comparator,excl_only,1,1
decreased,comparator,excl_only,1,1
decrease,comparator,excl_only,1,1
decreases,comparator,excl_only,1,1
decreasing,comparator,excl_only,1,1
augmentation,academic_syntax,excl_only,1,1
mild,generic,excl_only,1,0
severe,comparator,excl_only,1,0
relative,comparator,excl_only,1,1
most effective,comparator,excl_only,1,0
least effective,comparator,excl_only,1,0
form,academic_syntax,excl_only,1,1
major,academic_syntax,excl_only,1,1
minor,academic_syntax,excl_only,1,1
first,temporal,excl_only,1,1
second,temporal,excl_only,1,1
third,temporal,excl_only,1,1
fourth,temporal,excl_only,1,1
fifth,temporal,excl_only,1,1
sixth,temporal,excl_only,1,1
seventh,temporal,excl_only,1,1
eighth,temporal,excl_only,1,1
ninth,temporal,excl_only,1,1
tenth,temporal,excl_only,1,1
subject,academic_syntax,excl_only,1,1
subjects,academic_syntax,excl_only,1,1
above,comparator,excl_only,1,1
below,comparator,excl_only,1,1
literature,academic_syntax,excl_only,1,1
predictor,academic_syntax,excl_only,1,0
classify,academic_syntax,excl_only,1,1
classifiers,academic_syntax,excl_only,1,1
architecture,academic_syntax,excl_only,1,1
positive,comparator,excl_only,1,1
negative,comparator,excl_only,1,1
extended,academic_syntax,excl_only,1,1
estimate,academic_syntax,excl_only,1,1
goal,academic_syntax,excl_only,1,1
protocol,academic_syntax,excl_only,1,1
reduction,academic_syntax,excl_only,1,1
path,academic_syntax,excl_only,1,1
criteria,academic_syntax,excl_only,1,1
criterion,academic_syntax,excl_only,1,1
focus,academic_syntax,excl_only,1,0
never,generic,excl_only,1,1
neither,generic,excl_only,1,1
algorithm,academic_syntax,excl_only,1,1
mechanism,academic_syntax,excl_only,1,1
procedure,academic_syntax,excl_only,1,1
component,academic_syntax,excl_only,1,1
constitution,academic_syntax,excl_only,1,0
uncertainty,academic_syntax,excl_only,1,1
constraint,academic_syntax,excl_only,1,0
operation,academic_syntax,excl_only,1,0
interface,academic_syntax,excl_only,1,1
descriptor,academic_syntax,excl_only,1,0
specification,academic_syntax,excl_only,1,0
hierarchy,academic_syntax,excl_only,1,1
scenario,academic_syntax,excl_only,1,1
phase,temporal,excl_only,1,1
stage,temporal,excl_only,1,1
layout,academic_syntax,excl_only,1,1
relation,academic_syntax,excl_only,1,1
former,comparator,excl_only,1,1
latter,comparator,excl_only,1,1
syntax,academic_syntax,excl_only,1,1
schema,academic_syntax,excl_only,1,1
precision,statistics,excl_only,1,1
recall,statistics,excl_only,1,1
parameter,academic_syntax,excl_only,1,1
similarity,comparator,excl_only,1,1
invariant,academic_syntax,excl_only,1,1
margin,statitstics,excl_only,1,1
allow,generic,excl_only,1,1
allows,generic,excl_only,1,1
success,comparator,excl_only,1,0
failure,comparator,excl_only,1,0
